"","gameId","player","shootingTeamName","defendingTeamName","homeTeam","awayTeam","month","x","y","is.penalty","is.goal","expG"
"26",915201,17,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",79.4,61.8,FALSE,FALSE,0.0912487808093502
"69",915201,88,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",90.6,55.8,FALSE,FALSE,0.0694735399212249
"102",915201,88,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",90.2,45.4,FALSE,TRUE,0.0948428128714222
"105",915201,88,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",82.2,34.2,FALSE,TRUE,0.0427099706216555
"513",915201,6224,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",75.9,74.6,FALSE,FALSE,0.0192014396018803
"649",915201,6403,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",93.2,51.8,FALSE,FALSE,0.110499524677861
"650",915201,6403,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",88.8,68.2,FALSE,FALSE,0.0334363050699377
"653",915201,6403,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",91.5,61.5,FALSE,FALSE,0.0247872805195626
"1263",915201,19267,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",87.2,24.3,FALSE,FALSE,0.0255069459459342
"1275",915201,19267,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",78.2,66.6,FALSE,FALSE,0.0900601408553552
"1298",915201,19267,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",72.3,59.1,FALSE,FALSE,0.026272576894522
"1370",915201,20129,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",87.9,51,FALSE,FALSE,0.0388089392487059
"1920",915201,24698,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",92.4,51.2,FALSE,TRUE,0.160335071278875
"1922",915201,24698,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",73.7,56.7,FALSE,FALSE,0.031033853891157
"2438",915201,28112,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",84.6,76.9,FALSE,FALSE,0.0226747282602343
"2451",915201,28112,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",70.4,48.1,FALSE,FALSE,0.0527498455884015
"2452",915201,28112,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",85.8,54.6,FALSE,FALSE,0.11102038648245
"2502",915201,28488,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",83.6,76.3,FALSE,FALSE,0.0189430454034858
"4024",915201,72784,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",74.4,47.4,FALSE,FALSE,0.0351505255579646
"4034",915201,72784,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",76.7,65.2,FALSE,FALSE,0.0288499005053262
"4042",915201,72784,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",96.6,34,FALSE,FALSE,0.0892107018239445
"4406",915201,85031,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",90.1,38.9,FALSE,FALSE,0.024095796540851
"4802",915201,98826,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",88.9,58.8,FALSE,FALSE,0.124529742117077
"4849",915201,98826,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",87.6,56.9,FALSE,TRUE,0.125255538762705
"4938",915201,99243,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",86,54.4,FALSE,TRUE,0.147416143567241
"6013",915201,122132,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",85.6,59.8,FALSE,FALSE,0.0854989143542979
"6025",915201,122132,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",85.3,59,FALSE,FALSE,0.0250739157762533
"6204",915201,125537,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",95.4,53.4,FALSE,TRUE,0.594635071513768
"6253",915201,125583,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",70.3,61.5,FALSE,FALSE,0.0223281765027326
"6367",915201,126728,"L.A. Galaxy","Portland","L.A. Galaxy","Portland","October",75.2,31.6,FALSE,FALSE,0.019783622364941
"8301",915201,98826,"Portland","L.A. Galaxy","L.A. Galaxy","Portland","October",88.5,50,TRUE,TRUE,0.7757009
"379",915200,5252,"Seattle","Houston","Houston","Seattle","October",87.1,47.3,FALSE,FALSE,0.330298828866083
"406",915200,5252,"Seattle","Houston","Houston","Seattle","October",98.6,50.9,FALSE,TRUE,0.576375549022933
"1075",915200,13810,"Houston","Seattle","Houston","Seattle","October",80.1,60,FALSE,FALSE,0.0504828707718135
"1077",915200,13810,"Houston","Seattle","Houston","Seattle","October",78.5,34.2,FALSE,FALSE,0.0332372056661691
"1122",915200,16369,"Seattle","Houston","Houston","Seattle","October",75,70.8,FALSE,FALSE,0.020853579097601
"1135",915200,16369,"Seattle","Houston","Houston","Seattle","October",90.9,50.9,FALSE,FALSE,0.0670813405096143
"1144",915200,16369,"Seattle","Houston","Houston","Seattle","October",89,49.1,FALSE,FALSE,0.210476751423885
"1660",915200,23523,"Houston","Seattle","Houston","Seattle","October",77.5,56.5,FALSE,TRUE,0.0454983782311674
"2557",915200,28625,"Houston","Seattle","Houston","Seattle","October",75.1,46.6,FALSE,FALSE,0.0819400703581765
"4880",915200,99233,"Houston","Seattle","Houston","Seattle","October",86.6,43.3,FALSE,FALSE,0.117791026752211
"4889",915200,99233,"Houston","Seattle","Houston","Seattle","October",94,55.5,FALSE,FALSE,0.173176063413721
"4890",915200,99233,"Houston","Seattle","Houston","Seattle","October",89.3,29.8,FALSE,FALSE,0.114933619961955
"4909",915200,99233,"Houston","Seattle","Houston","Seattle","October",92.3,28.1,FALSE,FALSE,0.0426651604076933
"5841",915200,113434,"Seattle","Houston","Houston","Seattle","October",89.9,53.7,FALSE,FALSE,0.219320220578713
"6166",915200,125498,"Houston","Seattle","Houston","Seattle","October",86.6,38.6,FALSE,FALSE,0.0830404427614903
"8168",915200,283388,"Houston","Seattle","Houston","Seattle","October",93.8,42.5,FALSE,FALSE,0.0844600102175592
"8169",915200,283388,"Houston","Seattle","Houston","Seattle","October",86.8,32.4,FALSE,FALSE,0.0499246190656071
"711",915199,9719,"Philadelphia","New York","New York","Philadelphia","October",71.3,49.3,FALSE,FALSE,0.0521200423898763
"712",915199,9719,"Philadelphia","New York","New York","Philadelphia","October",93.5,65.5,FALSE,FALSE,0.0743288175265205
"737",915199,10718,"New York","Philadelphia","New York","Philadelphia","October",97.6,52.6,FALSE,TRUE,0.746979163596613
"751",915199,10718,"New York","Philadelphia","New York","Philadelphia","October",91,47.9,FALSE,FALSE,0.338120268394864
"755",915199,10718,"New York","Philadelphia","New York","Philadelphia","October",89.3,51.8,FALSE,FALSE,0.264966974924271
"784",915199,10718,"New York","Philadelphia","New York","Philadelphia","October",76.9,73,FALSE,FALSE,0.0266660603988501
"804",915199,10718,"New York","Philadelphia","New York","Philadelphia","October",91.3,41.3,FALSE,FALSE,0.209388151022806
"3017",915199,30719,"New York","Philadelphia","New York","Philadelphia","October",94.6,41.2,FALSE,FALSE,0.0634122845690458
"3124",915199,31740,"New York","Philadelphia","New York","Philadelphia","October",92.7,58.8,FALSE,FALSE,0.1767902669251
"3147",915199,31773,"New York","Philadelphia","New York","Philadelphia","October",74.5,57.9,FALSE,FALSE,0.0433132782221801
"3803",915199,72566,"Philadelphia","New York","New York","Philadelphia","October",87.3,36.9,FALSE,TRUE,0.0773836246446585
"3819",915199,72566,"Philadelphia","New York","New York","Philadelphia","October",89.2,61,FALSE,FALSE,0.0267505750422091
"4628",915199,90399,"Philadelphia","New York","New York","Philadelphia","October",82.2,51.5,FALSE,FALSE,0.0839504073492659
"4668",915199,90399,"Philadelphia","New York","New York","Philadelphia","October",91.6,37.5,FALSE,FALSE,0.0960768915409932
"5437",915199,111718,"Philadelphia","New York","New York","Philadelphia","October",79.1,24.4,FALSE,FALSE,0.0168192652982884
"6010",915199,121484,"Philadelphia","New York","New York","Philadelphia","October",90.6,43.3,FALSE,FALSE,0.0845564616945345
"6881",915199,143345,"New York","Philadelphia","New York","Philadelphia","October",97.5,52.4,FALSE,TRUE,0.765662082625856
"6882",915199,143345,"New York","Philadelphia","New York","Philadelphia","October",92,72,FALSE,FALSE,0.0564225909066915
"7912",915199,271566,"New York","Philadelphia","New York","Philadelphia","October",88.9,46.4,FALSE,FALSE,0.0756539101525057
"7917",915199,271566,"New York","Philadelphia","New York","Philadelphia","October",92.9,62.3,FALSE,TRUE,0.155060590655697
"7934",915199,271566,"New York","Philadelphia","New York","Philadelphia","October",87.7,64.9,FALSE,TRUE,0.0667714706752037
"8040",915199,274939,"Philadelphia","New York","New York","Philadelphia","October",91.3,57.1,FALSE,FALSE,0.0540525728940716
"713",915198,10314,"DC United","Chicago","DC United","Chicago","October",74.5,39.2,FALSE,FALSE,0.0373050279922405
"717",915198,10314,"DC United","Chicago","DC United","Chicago","October",84.4,41.3,FALSE,FALSE,0.09710154306738
"1167",915198,17497,"DC United","Chicago","DC United","Chicago","October",92.2,39.4,FALSE,TRUE,0.0377922933562867
"1174",915198,17497,"DC United","Chicago","DC United","Chicago","October",92.2,51,FALSE,FALSE,0.0942998980843296
"1189",915198,18109,"DC United","Chicago","DC United","Chicago","October",78.4,28.1,FALSE,FALSE,0.0304261112367354
"1233",915198,18109,"DC United","Chicago","DC United","Chicago","October",81.9,61.2,FALSE,FALSE,0.135569592923255
"1235",915198,18109,"DC United","Chicago","DC United","Chicago","October",93,57,FALSE,FALSE,0.0820169589038346
"1384",915198,20972,"DC United","Chicago","DC United","Chicago","October",94.3,45.4,FALSE,TRUE,0.453338358693554
"2358",915198,27286,"Chicago","DC United","DC United","Chicago","October",88.6,61.1,FALSE,FALSE,0.028053258398734
"3049",915198,30749,"DC United","Chicago","DC United","Chicago","October",90.2,76.3,FALSE,TRUE,0.035423673436107
"3054",915198,30749,"DC United","Chicago","DC United","Chicago","October",73.2,41.8,FALSE,FALSE,0.0643101226228118
"3069",915198,30749,"DC United","Chicago","DC United","Chicago","October",79.2,80.2,FALSE,FALSE,0.0155348668077976
"3392",915198,38804,"DC United","Chicago","DC United","Chicago","October",87,41.8,FALSE,FALSE,0.13929677164532
"3663",915198,41571,"Chicago","DC United","DC United","Chicago","October",76.5,39.4,FALSE,FALSE,0.0370216455075815
"3681",915198,41571,"Chicago","DC United","DC United","Chicago","October",91.4,46.9,FALSE,FALSE,0.207837183614654
"3997",915198,72783,"DC United","Chicago","DC United","Chicago","October",86.7,55.4,FALSE,FALSE,0.128766311178213
"4009",915198,72783,"DC United","Chicago","DC United","Chicago","October",98.3,56.6,FALSE,TRUE,0.42367242081021
"4344",915198,85024,"Chicago","DC United","DC United","Chicago","October",71.5,28.7,FALSE,FALSE,0.01700383349823
"5330",915198,101698,"Chicago","DC United","DC United","Chicago","October",89.3,54,FALSE,FALSE,0.0973156087654836
"5601",915198,112012,"DC United","Chicago","DC United","Chicago","October",90,37,FALSE,FALSE,0.112280938239948
"5612",915198,112012,"DC United","Chicago","DC United","Chicago","October",76.9,48.9,FALSE,FALSE,0.0470219387098531
"7177",915198,143817,"Chicago","DC United","DC United","Chicago","October",76.2,39.1,FALSE,FALSE,0.0349008865984129
"7210",915198,144343,"Chicago","DC United","DC United","Chicago","October",75.9,29.7,FALSE,FALSE,0.046080572233272
"7450",915198,267015,"Chicago","DC United","DC United","Chicago","October",87.6,18,FALSE,FALSE,0.0148985837788443
