club,last,first,position,base,guaranteed
ATL,Burgos,Efrain,M,62508,62508
ATL,Oblitey Otoo,Jeffrey,M,51504,51504
ATL,Tambakis,Alexander,GK,63000,63000
CHI,Accam,David,F-M,700000,770938
CHI,Alvarez,Arturo,F,115000,118264
CHI,Calistri,Joey,M,51500,51500
CHI,Campbell,Jonathan,D,70000,78125
CHI,Cocis,Razvan,M,160000,160000
CHI,Conner,Drew,M,62500,62500
CHI,Doody,Patrick,D,53471,53471
CHI,Fernandez,Collin,M,75000,77000
CHI,Gehrig,Eric,D,106875,112708
CHI,Goossens,John,M,200000,200000
CHI,Harrington,Michael,D,125000,125000
CHI,Igboananike,Kennedy,F,800000,901667
CHI,Johnson,Sean,GK,250000,253000
CHI,Junior,Gilberto,F,1145000,1145000
CHI,Kappelhof,Johan,D,480000,520000
CHI,LaBrocca,Nick,M,110000,110000
CHI,Lampson,Matt,GK,71250,76625
CHI,McLain,Patrick,GK,72500,72500
CHI,Meira,Joao,D-M,110000,126500
CHI,Morrell,Alex,M,51500,51500
CHI,Polster,Matt,D-M,84000,99000
CHI,Ramos,Rodrigo,D,80000,84000
CHI,Stephens,Michael,M,105000,115000
CHI,Thiam,Khaly,M,144000,144000
CHI,Vincent,Brandon,D,70000,91875
CLB,Afful,Harrison,D,275000,291667
CLB,Ashe,Corey,D,95000,105500
CLB,Barson,Chad,D,63000,63000
CLB,Casey,Conor,F,105000,105000
CLB,Clark,Steve,GK,220000,238333
CLB,Finlay,Ethan,M,250000,250000
CLB,Francis,Waylon,D,200000,200000
CLB,Higuain,Federico,M,1175000,1175000
CLB,Hollingsworth,Marshall,M,51500,51500
CLB,Jimenez,Hector,M,105000,105000
CLB,Kamara,Ola,F,425000,457500
CLB,Larsen,Emil,M,175000,175000
CLB,Mabwati,Cedrick,M,235000,263350
CLB,Meram,Justin,F,175000,185000
CLB,Pacifici,Matt,GK,51500,51500
CLB,Parkhurst,Michael,D,275000,300000
CLB,Saeid,Mohammed,M,110000,120000
CLB,Saravia,Rodrigo,M,62500,62500
CLB,Sauro,Gaston,D,585000,601313
CLB,Stuver,Brad,GK,63000,63000
CLB,Swanson,Ben,M,70000,90417
CLB,Tchani,Tony,M,250000,283333
CLB,Trapp,Wil,M,151250,178250
CLB,Wahl,Tyson,D,115000,115000
COL,Appiah,Emmanuel,M,62500,62500
COL,Azira,Michael,M,63000,65827
COL,Badji,Dominique,F,53472,53472
COL,Berner,John,GK,63000,63000
COL,Burch,Marc,D,120000,120000
COL,Burling,Bobby,D,110000,116000
COL,Calvert,Caleb,F,75000,82500
COL,Castillo,Dennis,D,51500,51500
COL,Cronin,Sam,M,225000,227500
COL,Doyle,Conor,F,66000,67250
COL,Doyle,Kevin,F,1075000,1120000
COL,Froschauer,Chris,GK,51500,51500
COL,Gashi,Shkelzen,M,1575000,1668750
COL,Hairston,Marlon,D-M,90000,113000
COL,Howard,Tim,GK,2100000,2575000
COL,Jones,Jermaine,M,600000,650000
COL,MacMath,Zac,GK,140000,140000
COL,Miller,Eric,M/D,66413,77413
COL,Pappa,Marco,M,110000,110000
COL,Pfeffer,Zach,M,101000,101000
COL,Powers,Dillon,M,270000,300000
COL,Ramirez,Juan Edgardo,M,85000,85000
COL,Serna,Dillon,M,66000,79000
COL,Sjoberg,Axel,D,66000,81000
COL,Solignac,Luis,F,85000,85000
COL,St. Ledger,Sean,D,191875,194375
COL,Watts,Jared,D-M,68000,68000
COL,Williams,Mekeil,D,85000,85000
DAL,Acosta,Kellyn,M-D,220000,240000
DAL,Akindele,Tesho,M-F,90000,107500
DAL,Barrios,Michael,M-F,70000,70000
DAL,Bonner,Colin,F,51504,51504
DAL,Castillo,Fabian,M-F,155750,170750
DAL,Craft,Coy,F-M,70000,87083
DAL,Diaz,Mauro,M,466000,544400
DAL,Figueroa,Maynor,D,115000,138333
DAL,Gonzalez,Jesse,GK,67500,76875
DAL,Gruezo,Carlos,M,450000,686500
DAL,Guillen,Aaron,D,51500,51500
DAL,Harris,Atiba,D-M,143000,143000
DAL,Hedges,Matt,D,152000,152000
DAL,Herman,Ryan,GK,62508,62508
DAL,Hernandez,Moises,D,100000,105000
DAL,Hollingshead,Ryan,M-D,122500,122500
DAL,Jara,Agustin,F,62508,62508
DAL,Lizarazo,Carlos,M-F,62508,130633
DAL,Loyd,Zach,D,200000,221667
DAL,Ortiz,Juan Esteban,M,160000,204500
DAL,Pitter,Timo,M-F,51504,51504
DAL,Rosales,Mauro,M,62500,62500
DAL,Seitz,Chris,GK,136000,136000
DAL,Ulloa,Victor,M,130000,132500
DAL,Urruti,Maximiliano,F,250000,250000
DAL,Zendejas,Alejandro,M,70000,88467
DAL,Zimmerman,Walker,D,174000,174000
DC,Acosta,Luciano,M-F,327273,429273
DC,Aguilar,Miguel,M,63000,63000
DC,Birnbaum,Steven,D,86350,116350
DC,Boswell,Bobby,D,260000,260000
DC,Buescher,Julian,M,70000,79700
DC,DeLeon,Nick,M,235000,235000
DC,Dykstra,Andrew,GK,75000,85700
DC,Espindola,Fabian,F,200000,200000
DC,Franklin,Sean,D,225000,256667
DC,Hall,Tally,GK,75000,153750
DC,Halsti,Markus,M,275000,336833
DC,Hamid,Bill,GK,325000,370500
DC,Horton,Charlie,GK,70000,76167
DC,Jeffrey,Jared,M,71663,77863
DC,Kamara,Alhaji,F,51500,59750
DC,Kemp,Taylor,D,100000,100000
DC,Korb,Chris,D,108900,116380
DC,Mancini,Andrea,M-F,82500,82500
DC,Martin,Collin,M,75000,89167
DC,Mishu,Luke,D,62500,62500
DC,Neagle,Lamar,M-F,185000,187833
DC,Nyarko,Patrick,F-M,210000,225750
DC,Opare,Kofi,D,90000,105000
DC,Robinson,Jalen,D,75000,87000
DC,Rolfe,Chris,F,257500,272500
DC,Saborio,Alvaro,F,420000,535500
DC,Sarvas,Marcelo,M,360000,425000
DC,Vincent,Rob,M-F,62508,62508
DC,Worra,Travis,GK,53472,53472
HOU,Anibaba,Jalil,M,62500,62500
HOU,Barnes,Giles,F-M,700000,756250
HOU,Beasley,DaMarcus,D,750000,813333
HOU,Bourgeois,Bradley,D,51500,51500
HOU,Brown,Calle,GK,51500,51500
HOU,Bruin,Will,F,310000,311667
HOU,Clark,Ricardo,M,319200,356700
HOU,Deric,Tyler,GK,170000,170000
HOU,Garcia,Boniek,M,225000,247500
HOU,Horst,David,D,88594,91344
HOU,Ibeagha,Sebastien,D,62500,62500
HOU,Iniguez,Agustin,D,132000,132000
HOU,Lovejoy,Rob,M,52500,52500
HOU,Lucatero,Christian,M,51500,51750
HOU,Maidana,Cristian,M,223850,237600
HOU,Manotas,Mauro,F,85000,85000
HOU,Mansally,Kenny,D,77500,84000
HOU,Miranda,Leonel,M,62500,62500
HOU,Monteiro de Lima,Alex,M,152000,152000
HOU,Rocha,David Mateos,M,100000,100000
HOU,Rodriguez,Raul,D,350000,379333
HOU,Steinberger,Zach,M,63000,79250
HOU,Torres,Erick,F,575000,650000
HOU,Warner,Collen,M,149934,177434
HOU,Wenger,Andrew,M-F,190000,190000
HOU,Williams,Sheanon,D,162500,171500
HOU,Willis,Joe,GK,94500,94500
KC,Abdul-Salaam,Saad,D,63000,76750
KC,Anor,Bernardo,M,132624,132624
KC,Besler,Matt,D,700000,733250
KC,Coelho,Nuno,D,275000,375000
KC,Davis,Brad,M,355000,355000
KC,Dia,Amadou,D,51500,51500
KC,Dwyer,Dom,F,500000,618750
KC,Ellis,Kevin,D,72000,75150
KC,Espinoza,Roger,M,800000,800000
KC,Feilhaber,Benny,M,400000,412188
KC,Hallisey,Connor,M,63000,76750
KC,Kann,Alec,GK,63000,63000
KC,Kempin,Jonathan,GK,82750,82750
KC,Mapp,Justin,M,224070,239070
KC,Medranda,Jimmy,M,63000,63000
