Season,Game,Team For,Team Against,ExpG,ActG,Player,Month
2016,1,Aston Villa,Bournemouth,0.338680927,,I Gueye,August
2016,1,Aston Villa,Bournemouth,0.489813995,1,Gestede,August
2016,1,Aston Villa,Bournemouth,0.105969791,,Agbonlahor,August
2016,1,Bournemouth,Aston Villa,0.192,,C Wilson,August
2016,1,Bournemouth,Aston Villa,0.486725664,,Pugh,August
2016,2,Crystal Palace,Norwich,0.758687259,,G Murray,August
2016,2,Crystal Palace,Norwich,0.506276151,1,Zaha,August
2016,2,Crystal Palace,Norwich,0.3025,,Mutch,August
2016,2,Crystal Palace,Norwich,0.506276151,1,Delaney,August
2016,2,Crystal Palace,Norwich,0.105969791,,Cabaye,August
2016,2,Crystal Palace,Norwich,0.105969791,,Bolasie,August
2016,2,Crystal Palace,Norwich,0.33273703,1,Cabaye,August
2016,2,Norwich,Crystal Palace,0.181818182,,R Brady,August
2016,2,Norwich,Crystal Palace,0.254098361,,Grabban,August
2016,2,Norwich,Crystal Palace,0.486725664,,B Johnson,August
2016,2,Norwich,Crystal Palace,0.105969791,,Whittaker,August
2016,2,Norwich,Crystal Palace,0.105969791,1,Redmond,August
2016,2,Norwich,Crystal Palace,0.208219178,,Whittaker,August
2016,3,Liverpool,Stoke,0.103225806,,Lovren,August
2016,3,Liverpool,Stoke,0.486725664,,Skrtel,August
2016,3,Liverpool,Stoke,0.105969791,1,Coutinho,August
2016,3,Stoke,Liverpool,0.105969791,,Mame Diouf,August
2016,4,Wba,Man CIty,0.383802817,,Morrison,August
2016,4,Wba,Man CIty,0.105969791,,Anichebe,August
2016,4,Man CIty,Wba,0.33273703,1,Silva,August
2016,4,Man CIty,Wba,0.24702381,1,Y Toure,August
2016,4,Man CIty,Wba,0.383802817,,Sterling,August
2016,4,Man CIty,Wba,0.268115942,,Sterling,August
2016,4,Man CIty,Wba,0.506276151,1,Kompany,August
2016,4,Man CIty,Wba,0.383802817,,Aguero,August
2016,4,Man CIty,Wba,0.19,,Kolarov,August
2016,5,Newcastle,Southampton,0.356466877,,P Cisse,August
2016,5,Newcastle,Southampton,0.489813995,,Coloccini,August
2016,5,Newcastle,Southampton,0.758687259,1,P Cisse,August
2016,5,Newcastle,Southampton,0.486725664,1,Wijnaldum,August
2016,5,Southampton,Newcastle,0.2,,Soares,August
2016,5,Southampton,Newcastle,0.383802817,1,Pelle,August
2016,5,Southampton,Newcastle,0.486725664,,Yoshida,August
2016,5,Southampton,Newcastle,0.489813995,1,Long,August
2016,6,Leicester,Sunderland,0.251748252,1,Vardy,August
2016,6,Leicester,Sunderland,0.489813995,1,Mahrez,August
2016,6,Leicester,Sunderland,0.828,1,Mahrez,August
2016,6,Leicester,Sunderland,0.338680927,,Vardy,August
2016,6,Leicester,Sunderland,0.105969791,,Drinkwater,August
2016,6,Leicester,Sunderland,0.208219178,,Mahrez,August
2016,6,Leicester,Sunderland,0.33273703,,Vardy,August
2016,6,Leicester,Sunderland,0.338461538,1,Albrighton,August
2016,6,Sunderland,Leicester,0.383802817,,Kaboul,August
2016,6,Sunderland,Leicester,0.486725664,,Rodwell,August
2016,6,Sunderland,Leicester,0.338461538,1,Defoe,August
2016,6,Sunderland,Leicester,0.251748252,,Defoe,August
2016,6,Sunderland,Leicester,0.732110092,1,S Fletcher,August
2016,7,Chelsea,Swansea,0.19,1,Oscar,August
2016,7,Chelsea,Swansea,0,,D Costa,August
2016,7,Chelsea,Swansea,0.2,,Hazard,August
2016,7,Swansea,Chelsea,0.215909091,,Ki,August
2016,7,Swansea,Chelsea,0.486725664,,Gomis,August
2016,7,Swansea,Chelsea,0.489813995,1,A Ayew,August
2016,7,Swansea,Chelsea,0.105969791,,Sigurdsson,August
2016,7,Swansea,Chelsea,0.828,1,Gomis,August
2016,7,Swansea,Chelsea,0.15270936,,Montero,August
2016,7,Swansea,Chelsea,0.170731707,,Montero,August
2016,7,Swansea,Chelsea,0.27027027,,Routledge,August
2016,7,Swansea,Chelsea,0,,A Ayew,August
2016,8,Man Utd,Tottenham,0.338680927,,A Young,August
2016,8,Tottenham,Man Utd,0.352739726,,K Walker,August
2016,8,Tottenham,Man Utd,0.195592287,,Alderweireld,August
2016,8,Tottenham,Man Utd,0.103225806,,Eriksen,August
2016,8,Tottenham,Man Utd,0.215909091,,Eriksen,August
2016,9,Everton,Watford,0.486725664,,Barry,August
2016,9,Everton,Watford,0.057142857,,Barkley,August
2016,9,Everton,Watford,0.105969791,1,Barkley,August
2016,9,Everton,Watford,0.208219178,1,Kone,August
2016,9,Everton,Watford,0.103225806,,Lukaku,August
2016,9,Watford,Everton,0.356466877,1,Layun,August
