*****MoneyPuck.com Player and Team Data******,
,
Please reach out through MoneyPuck.com if you have any feedback,
No guarantees are made to the quality of the data. NHL data is known to have issues and biases.,
You are welcome to use this data in any work. Just please cite MoneyPuck.com,
,
Below are a description of general terms used in the data as well as a data dictionary below it:,
,
,
,
General Terms,Description
Expected Goals,"The sum of the probabilities of unblocked shot attempts being goals. For example, a rebound shot in the slot may be worth 0.5 expected goals, while a shot from the blueline while short handed may be worth 0.01 expected goals. The expected value of each shot attempt is calculated by the MoneyPuck Expected Goals model. Expected goals is commonly abbreviated as ""xGoals"". Blocked shot attempts are valued at 0 xGoals. See more here: http://moneypuck.com/about.htm#shotModel"
Score Adjusted,Adjusts metrics to gives more credit to away teams and teams with large leads.
Flurry Adjusted,See http://moneypuck.com/about.htm#flurry
I_F,"""Individual For"". For stats credited to an individual. For example, I_F_goals is the number of goals a player has scored"
OnIce_F,"""On-ice For"". Every player on the ice on the team doing the event receives credit. OnIce_F_goals is the number of goals the player's team has scored while that player is on the ice, regardless of if they were the one who scored the goal or not."
OnIce_A,"""On-ice Against"". Every opposing team's players on the ice on receives credit. OnIce_A_goals is the number of goals the player's team has given up while the player is on the ice"
OffIce_F,"""Off-ice For"". Every player on the bench of  the team doing the event receives ""credit"". OffIce_F_goals is the number of goals the player's team has scored while that player is on the bench."
OffIce_A,"""Off-ice Against"". Every player on the opposing team's bench of  the team doing the event receives ""credit"". OffIce_A_goals is the number of goals the player's team has given up while that player is on the bench."
Low Danger Shots,Unblocked Shot attempts with a < 8% probability of being a goal. Low danger shots accounts for ~75% of shots and ~33% of goals
Medium Danger Shots,Unblocked Shot attempts with between >=8% but less than 20% probability of being a goal. Medium danger shots account for ~20% of shots and ~33% of goals
High Danger Shots,Unblocked Shot attempts  with >= 20% probability of being a goal. High danger shots account for ~5% of shots and ~33% of goals
Created Expected Goals,See http://moneypuck.com/about.htm#xRebounds 
,
,
Column Name,Description
playerId,Unique ID for each player assigned by the NHL
season,Starting year of the season. For example 2018 for the 2018-2019 season
situation,"5on5 for normal play, 5on4 for a normal powerplay, 4on5 for a normal PK. 'Other' includes everything else: two man advantage, empty net, 4on3, etc. 'all' includes all situations"
games_played,Number of games played.
icetime,Ice time in seconds
shifts,Number of shifts a player had
gameScore,Game Score rating as designed by @domluszczyszyn
onIce_xGoalsPercentage,On Ice xGoals For / (On Ice xGoals For + On Ice xGoals Against)
offIce_xGoalsPercentage,Off Ice xGoals For / (Off Ice xGoals For + Off Ice xGoals Against)
onIce_corsiPercentage,On Ice Shot Attempts For / (On Ice Shot Attempts For + On Ice Shot Attempts Against)
offIce_corsiPercentage,Off Ice Shot Attempts For / (Off Ice Shot Attempts For + Off Ice Shot Attempts Against)
onIce_fenwickPercentage,On Ice Unblocked Shot Attempts For / (On Ice Unlbocked Shot Attempts For + On Ice Unbloked Shot Attempts Against)
offIce_fenwickPercentage,Off Ice Unblocked Shot Attempts For / (Off Ice Unlbocked Shot Attempts For + Off Ice Unbloked Shot Attempts Against)
iceTimeRank,Rank of the player's ice time in a given game. Forwards and Defensemen are ranked seperately. 1 means the player got more icetime in the game than any other forward/D.
I_F_xOnGoal,"Expected number of unblocked shot attempts that are expected to be a shot on goal (not miss the net) given the context (distance, situation, etc) they were taken from. This assumes the player has average shooting talent."
I_F_xGoals,Expected Goals. See 'General Concepts' tab for more info.
I_F_xRebounds,Expected Rebounds. The expected number of rebound shots generated from the player's unblocked shot attempts.
I_F_xFreeze,Expected puck freezes after shots. The expected number of puck freezes by the goalie after the player's unblocked shot attempts.
I_F_xPlayStopped,"Expected number of times the play is stopped after shots for reasons other than the goalie freezing the puck, such as the puck going over the glass or a dislodged net."
I_F_xPlayContinuedInZone,"Expected number of times the play continues in the offensive zone after the player's shot besides an immediate rebound shot. This is proxied by another event happening in the zone after the shot (such as a hit, takeaway, etc) without any events outside of the zone happening inbetween and all the same players for both teams are still on the ice as they were for the original shot"
I_F_xPlayContinuedOutsideZone,Expected number of times the play goes outside the offensive zone after the player's shot. 
I_F_flurryAdjustedxGoals,Flurry Adjusted Expected Goals. See 'General Concepts' tab for more info.
I_F_scoreVenueAdjustedxGoals,Score and Venue Adjusted xGoals. Gives more credit to away teams and teams with large leads when they get an xGoal.
I_F_flurryScoreVenueAdjustedxGoals,Fluury and Score and Venued Adjusted xGoals
I_F_primaryAssists,Primary Assists the player has received on teammates' goals
I_F_secondaryAssists,Secondary Assists the player has received on teammates' goals
I_F_shotsOnGoal,Shots on goal. Does not include shots that miss the net or blocked shots
I_F_missedShots,Missed shots. Shots that aren't blocked but don't hit the net
I_F_blockedShotAttempts,Blocked shot attempts. The numbe of shot attempts a player has taken that were blocked by the opponent's team
I_F_shotAttempts,"Shot attempts. Includes shots on goal, missed shots, and blocked shot attempts"
I_F_points,Goals + Assists
I_F_goals,Goals
I_F_rebounds,Rebound shot attempts. These must occur within 3 seconds of a previous shot.
I_F_reboundGoals,Goals from rebound shot attempts
I_F_freeze,Puck freezes after a player's shots. The  number of puck freezes by  goalies after the player's unblocked shot attempts.
I_F_playStopped,"Number of times the play is stopped after shots for reasons other than the goalie freezing the puck, such as the puck going over the glass or a dislodged net."
I_F_playContinuedInZone,"Number of times the play continues in the offensive zone after the player's shot besides an immediate rebound shot. This is proxied by another event happening in the zone after the shot (such as a hit, takeaway, etc) without any events outside of the zone happening inbetween and all the same players for both teams are still on the ice as they were for the original shot"
I_F_playContinuedOutsideZone,Number of times the play goes outside the offensive zone after the player's shot. 
