playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471817,2022,Ryan Reaves,MIN,R,other,73,321.0,4.0,5.15,0.43,0.62,0.17,0.5,0.22,0.52,91.0,0.53,0.43,0.02,0.02,0.02,0.26,0.25,0.43,0.43,0.43,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.43,0.43,0.43,4.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2273.0,0.0,0.0,0.0,1.0,0.99,0.96,0.94,0.96,0.94,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.96,0.0,0.0,0.0,2.0,2.0,2.0,0.01,0.0,0.0,0.97,0.97,0.95,5.34,1.28,0.85,1.28,0.85,4.0,3.0,3.0,10.0,1.0,2.0,1.0,5.0,0.0,2.0,0.18,0.0,1.1,0.0,0.0,1.0,10.0,7.0,7.0,0.11,1.1,1.1,0.29,0.29,0.26,7.92,4.87,55.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8471817,2022,Ryan Reaves,MIN,R,all,73,40825.0,889.0,8.58,0.45,0.52,0.45,0.52,0.46,0.53,814.0,49.47,6.7,3.8,11.2,1.72,26.57,19.02,6.55,6.77,6.62,5.0,5.0,48.0,21.0,10.0,79.0,15.0,5.0,5.0,1.0,7.0,1.0,24.0,27.0,43.0,64.0,11.0,43.0,4.0,196.0,15.0,16.0,33.0,29.0,7.0,1.16,3.58,1.96,0.0,4.0,1.0,80.3,69.0,69.7,10.0,0.8,1.15,1.9,5.6,5.68,5.59,889.0,70.0,91.0,141.0,587.0,138.0,140.0,98.0,513.0,4.0,11.0,227036.0,43.0,47.0,13.0,24.0,296.11,23.65,23.03,24.21,23.56,284.0,128.0,141.0,553.0,21.0,31.0,4.0,315.0,73.0,24.0,8.2,8.97,6.48,9.0,9.0,3.0,563.26,412.0,419.19,3.8,5.42,5.42,22.03,22.47,22.19,355.87,28.59,26.9,28.46,26.76,353.0,138.0,188.0,679.0,27.0,28.0,5.0,376.0,98.0,17.0,10.94,11.83,5.82,12.0,10.0,5.0,674.73,491.0,489.13,4.67,6.2,6.2,27.06,26.92,26.43,211.16,193.11,3831.0,3547.0,0.0,0.0,0.0,0.0,0.0,0.0
8471817,2022,Ryan Reaves,MIN,R,5on5,73,40382.0,877.0,8.58,0.46,0.52,0.45,0.51,0.46,0.53,731.0,48.95,6.27,3.77,11.18,1.7,26.3,18.77,6.12,6.34,6.19,5.0,5.0,48.0,20.0,10.0,78.0,15.0,5.0,5.0,1.0,7.0,1.0,23.0,27.0,43.0,63.0,10.0,38.0,4.0,196.0,15.0,16.0,33.0,29.0,6.0,1.16,3.58,1.54,0.0,4.0,1.0,79.3,68.0,68.7,10.0,0.79,1.15,1.9,5.17,5.24,5.15,877.0,70.0,90.0,139.0,578.0,138.0,137.0,95.0,507.0,4.0,11.0,175417.0,38.0,42.0,12.0,23.0,295.12,22.69,22.08,23.25,22.62,284.0,126.0,140.0,550.0,21.0,31.0,4.0,315.0,73.0,22.0,8.2,8.97,5.52,9.0,9.0,3.0,560.26,410.0,417.19,3.79,5.42,5.42,21.06,21.5,21.24,349.32,27.09,25.83,26.97,25.69,347.0,135.0,185.0,667.0,25.0,26.0,4.0,371.0,96.0,15.0,10.76,11.61,4.72,12.0,9.0,4.0,662.73,482.0,480.13,4.55,5.1,5.1,26.54,26.4,25.93,127.62,119.87,2796.0,2639.0,0.75,1.68,14.0,21.0,9.0,17.0
8471817,2022,Ryan Reaves,MIN,R,4on5,73,24.0,2.0,0.1,0.0,0.08,0.0,0.13,0.0,0.16,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.1,0.1,0.1,0.15,1.78,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
8471817,2022,Ryan Reaves,MIN,R,5on4,73,98.0,6.0,1.7,0.0,0.94,0.5,0.91,0.0,0.91,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,3.0,0.0,0.0,1632.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.12,0.12,0.12,0.12,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.13,0.13,0.13,4.4,0.29,53.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,other,68,960.0,21.0,7.27,0.63,0.49,0.26,0.46,0.24,0.44,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,10.0,0.0,11.0,0.0,3.0,5.0,13.0,0.0,0.0,3042.0,0.0,0.0,0.0,3.0,6.01,3.44,3.35,3.44,3.35,6.0,3.0,3.0,12.0,4.0,1.0,0.0,2.0,1.0,6.0,0.06,0.15,3.23,0.0,1.0,3.0,12.0,9.0,9.0,0.08,0.27,0.27,3.25,3.25,3.17,20.06,2.01,1.9,2.01,1.9,21.0,8.0,6.0,35.0,5.0,1.0,0.0,18.0,11.0,0.0,0.8,1.2,0.0,2.0,3.0,0.0,35.0,29.0,29.0,0.54,0.02,0.02,2.52,2.52,2.39,10.31,10.64,71.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,all,68,61236.0,1469.0,11.77,0.39,0.51,0.42,0.54,0.41,0.52,329.0,37.1,1.36,1.83,10.21,1.18,20.47,16.93,1.34,1.34,1.31,6.0,6.0,41.0,11.0,26.0,78.0,14.0,2.0,0.0,0.0,8.0,1.0,18.0,23.0,39.0,50.0,19.0,38.0,0.0,99.0,27.0,20.0,50.0,2.0,0.0,1.09,0.28,0.0,1.0,1.0,0.0,76.52,52.0,51.2,15.0,0.37,0.0,0.02,1.71,1.68,1.64,1469.0,105.0,261.0,220.0,883.0,214.0,192.0,174.0,889.0,0.0,0.0,186545.0,38.0,20.0,10.0,104.0,439.44,43.27,41.36,42.95,41.09,435.0,162.0,209.0,806.0,39.0,50.0,5.0,435.0,118.0,44.0,14.19,15.18,13.9,12.0,17.0,10.0,803.86,597.0,593.6,5.88,10.4,10.59,38.56,38.44,37.92,632.93,66.69,63.72,66.8,63.84,635.0,228.0,240.0,1103.0,72.0,73.0,13.0,594.0,195.0,74.0,16.88,23.74,26.07,17.0,23.0,32.0,1104.67,863.0,864.75,10.65,15.01,14.72,62.63,62.82,60.81,184.65,174.72,3144.0,2725.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on5,68,52172.0,1252.0,11.77,0.46,0.49,0.48,0.52,0.47,0.51,340.0,35.67,1.18,1.77,10.04,1.14,20.06,15.81,1.15,1.16,1.13,4.0,6.0,39.0,11.0,26.0,76.0,11.0,1.0,0.0,0.0,8.0,1.0,17.0,23.0,38.0,49.0,17.0,34.0,0.0,83.0,21.0,18.0,49.0,1.0,0.0,1.07,0.11,0.0,1.0,0.0,0.0,74.52,50.0,49.2,13.0,0.35,0.0,0.02,1.51,1.48,1.45,1252.0,102.0,155.0,204.0,791.0,205.0,155.0,145.0,747.0,0.0,0.0,152004.0,34.0,16.0,8.0,82.0,407.6,36.63,34.91,36.31,34.63,399.0,156.0,201.0,756.0,31.0,46.0,4.0,415.0,105.0,35.0,13.56,13.28,9.79,12.0,13.0,6.0,753.86,555.0,551.6,5.49,9.3,9.5,32.62,32.51,32.08,457.06,43.39,41.62,43.5,41.74,461.0,161.0,196.0,818.0,38.0,55.0,9.0,433.0,145.0,44.0,12.96,17.94,12.5,13.0,15.0,10.0,819.67,622.0,623.75,6.38,12.01,11.72,38.05,38.24,37.44,118.88,123.81,2425.0,2233.0,5.37,0.39,113.0,12.0,89.0,9.0
8480950,2022,Ilya Lyubushkin,BUF,D,4on5,68,8020.0,192.0,10.3,0.13,0.18,0.13,0.18,0.13,0.2,127.0,0.67,0.01,0.02,0.1,0.02,0.23,0.62,0.01,0.01,0.01,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,13.0,6.0,2.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.02,0.02,0.02,192.0,1.0,96.0,16.0,79.0,9.0,34.0,24.0,125.0,0.0,0.0,7633.0,4.0,0.0,0.0,0.0,24.39,2.96,2.87,2.96,2.87,29.0,2.0,5.0,36.0,3.0,3.0,1.0,17.0,11.0,3.0,0.51,1.57,0.88,0.0,2.0,1.0,36.0,31.0,31.0,0.28,0.82,0.82,2.42,2.42,2.41,149.88,20.34,19.44,20.34,19.44,147.0,57.0,36.0,240.0,28.0,17.0,4.0,139.0,36.0,29.0,3.07,4.25,13.01,2.0,5.0,21.0,240.0,204.0,204.0,3.61,2.98,2.98,20.97,20.97,20.11,3.28,15.37,47.0,215.0,0.91,0.0,11.0,1.0,9.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on4,68,84.0,4.0,-1.62,0.0,0.79,0.0,0.84,0.0,0.81,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1995.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.01,0.01,0.01,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.01,0.01,4.31,1.16,59.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
