CGY,2022,CGY,CGY,Team Level,other,82,0.49,0.5,0.49,9412.0,135.81,30.17,9.17,23.83,4.38,70.64,50.81,27.77,30.17,27.77,131.0,58.0,67.0,256.0,19.0,9.0,0.0,23.0,7.0,56.0,75.0,112.0,170.0,14.0,32.0,111.0,39.0,24.0,26.0,93.0,56.0,40.0,3.72,6.82,19.64,2.0,5.0,12.0,256.0,189.0,189.0,13.0,2.6,3.14,3.14,29.63,29.63,28.05,147.38,31.4,10.36,25.56,4.77,74.27,51.64,29.09,31.4,29.09,145.0,53.0,57.0,255.0,31.0,14.0,6.0,20.0,6.0,65.0,62.0,114.0,167.0,6.0,12.0,141.0,28.0,19.0,28.0,90.0,64.0,44.0,3.8,8.12,19.49,6.0,8.0,17.0,255.0,198.0,198.0,10.0,3.09,4.52,4.52,29.97,29.97,28.11
CGY,2022,CGY,CGY,Team Level,all,82,0.54,0.57,0.56,299918.0,2972.44,278.2,201.51,696.2,99.22,1628.06,1211.81,267.91,278.96,268.67,2949.0,1166.0,1412.0,5527.0,258.0,281.0,42.0,710.0,70.0,1202.0,1594.0,2691.0,3857.0,309.0,687.0,2531.0,1981.0,624.0,717.0,3056.0,766.0,293.0,85.01,93.58,99.62,79.0,92.0,87.0,5551.19,4115.0,4132.21,364.0,44.43,56.89,56.89,265.73,266.51,260.99,2321.39,238.84,159.06,531.61,76.22,1238.58,924.7,228.46,239.91,229.48,2243.0,926.0,1024.0,4193.0,247.0,211.0,34.0,536.0,101.0,892.0,1182.0,1996.0,2922.0,297.0,651.0,2496.0,1758.0,642.0,835.0,2234.0,677.0,258.0,67.75,83.68,87.4,84.0,85.0,78.0,4200.45,3169.0,3178.11,462.0,35.46,44.59,44.65,229.64,230.5,224.88
CGY,2022,CGY,CGY,Team Level,5on5,82,0.55,0.57,0.57,239775.0,2327.88,192.77,149.24,571.06,77.8,1270.95,952.18,186.29,193.53,187.04,2290.0,924.0,1135.0,4349.0,182.0,226.0,33.0,585.0,48.0,923.0,1250.0,2108.0,3032.0,271.0,607.0,1943.0,1812.0,498.0,594.0,2440.0,583.0,191.0,68.84,71.22,52.71,71.0,74.0,37.0,4373.19,3214.0,3231.21,308.0,30.76,43.04,43.04,180.49,181.26,178.36,1771.01,159.77,116.06,426.98,58.5,942.38,719.32,154.22,160.85,155.25,1702.0,721.0,807.0,3230.0,169.0,167.0,26.0,426.0,77.0,664.0,920.0,1533.0,2254.0,270.0,597.0,1895.0,1617.0,550.0,687.0,1777.0,483.0,163.0,54.19,60.01,45.58,70.0,59.0,40.0,3237.45,2423.0,2432.11,401.0,24.07,33.64,33.95,149.89,150.74,148.55
CGY,2022,CGY,CGY,Team Level,4on5,82,0.22,0.23,0.26,25978.0,118.07,11.74,6.3,17.14,3.88,39.01,82.93,11.45,11.74,11.45,130.0,31.0,20.0,181.0,8.0,5.0,0.0,16.0,2.0,22.0,108.0,122.0,153.0,9.0,18.0,227.0,91.0,71.0,45.0,113.0,36.0,12.0,3.19,4.47,4.09,1.0,4.0,3.0,181.0,161.0,161.0,40.0,1.43,1.14,1.14,12.05,12.05,11.96,336.32,41.01,29.38,70.16,11.02,202.11,107.32,38.73,41.01,38.73,321.0,140.0,142.0,603.0,41.0,25.0,2.0,81.0,17.0,152.0,145.0,280.0,420.0,9.0,18.0,247.0,32.0,21.0,75.0,308.0,110.0,43.0,7.98,13.06,19.97,8.0,13.0,20.0,603.0,461.0,461.0,10.0,7.55,4.99,4.74,43.83,43.83,42.33
CGY,2022,CGY,CGY,Team Level,5on4,82,0.87,0.88,0.86,24753.0,390.68,43.51,36.8,84.16,13.18,247.46,125.88,42.41,43.51,42.41,398.0,153.0,190.0,741.0,49.0,41.0,9.0,86.0,13.0,201.0,161.0,349.0,502.0,15.0,30.0,250.0,39.0,31.0,52.0,410.0,91.0,50.0,9.27,11.07,23.18,5.0,9.0,35.0,741.0,551.0,551.0,3.0,9.64,9.58,9.58,43.57,43.57,42.6,66.68,6.65,3.26,8.9,1.94,19.82,46.43,6.41,6.65,6.41,75.0,12.0,18.0,105.0,6.0,5.0,0.0,9.0,1.0,11.0,55.0,69.0,81.0,12.0,24.0,213.0,81.0,52.0,45.0,59.0,20.0,8.0,1.79,2.5,2.36,0.0,5.0,1.0,105.0,87.0,87.0,41.0,0.76,1.44,1.44,5.97,5.97,5.89
EDM,2022,EDM,EDM,Team Level,other,82,0.58,0.51,0.52,9385.0,141.87,35.52,10.0,23.21,4.47,70.57,45.21,33.93,35.52,33.93,144.0,45.0,53.0,242.0,34.0,9.0,2.0,28.0,1.0,59.0,58.0,110.0,155.0,10.0,20.0,135.0,20.0,32.0,22.0,78.0,60.0,51.0,3.04,7.58,24.9,2.0,9.0,23.0,242.0,189.0,189.0,7.0,2.85,3.22,3.63,34.74,34.74,34.11,132.2,25.65,9.57,24.36,5.24,70.19,43.0,24.08,25.65,24.08,142.0,36.0,53.0,231.0,24.0,11.0,2.0,29.0,4.0,63.0,47.0,118.0,154.0,9.0,18.0,115.0,30.0,24.0,24.0,86.0,59.0,33.0,3.24,7.1,15.31,4.0,6.0,14.0,231.0,178.0,178.0,12.0,2.79,2.94,2.94,25.49,25.49,24.17
EDM,2022,EDM,EDM,Team Level,all,82,0.56,0.52,0.52,297819.0,2719.78,311.16,194.5,595.17,87.81,1455.25,1064.11,293.42,314.2,296.43,2755.0,953.0,1192.0,4900.0,325.0,223.0,32.0,549.0,75.0,1268.0,1268.0,2430.0,3383.0,315.0,678.0,2484.0,1874.0,734.0,866.0,2457.0,931.0,320.0,76.59,114.67,119.9,98.0,127.0,100.0,4989.05,3708.0,3764.23,471.0,43.29,51.89,52.07,302.38,305.48,294.88,2530.81,243.8,172.89,586.04,83.86,1390.39,997.01,235.24,242.8,234.26,2573.0,901.0,1037.0,4511.0,256.0,211.0,40.0,595.0,70.0,1156.0,1186.0,2317.0,3218.0,310.0,669.0,2404.0,2019.0,690.0,829.0,2533.0,703.0,238.0,75.77,84.77,83.27,83.0,84.0,89.0,4464.22,3474.0,3447.09,442.0,38.5,42.13,42.18,240.13,238.95,233.65
EDM,2022,EDM,EDM,Team Level,5on5,82,0.54,0.52,0.52,239362.0,2074.91,192.77,142.46,481.82,67.7,1120.27,839.98,184.98,195.81,187.99,2092.0,753.0,961.0,3806.0,193.0,164.0,16.0,449.0,61.0,967.0,1011.0,1899.0,2652.0,278.0,604.0,1862.0,1760.0,599.0,723.0,1998.0,674.0,173.0,62.94,83.5,46.32,83.0,83.0,27.0,3895.05,2845.0,2901.23,414.0,29.6,33.29,33.06,189.31,192.41,188.11,1938.91,163.97,125.41,468.02,63.54,1053.95,786.09,159.33,162.96,158.35,1962.0,699.0,812.0,3473.0,169.0,161.0,31.0,478.0,46.0,877.0,930.0,1793.0,2492.0,273.0,592.0,1850.0,1873.0,588.0,669.0,1994.0,525.0,142.0,60.53,63.64,39.81,72.0,59.0,38.0,3426.22,2661.0,2634.09,385.0,25.92,31.3,31.56,158.32,157.15,154.8
EDM,2022,EDM,EDM,Team Level,4on5,82,0.17,0.15,0.16,25954.0,83.85,10.32,4.37,11.54,2.64,25.58,56.55,10.28,10.32,10.28,94.0,17.0,14.0,125.0,16.0,3.0,1.0,5.0,1.0,19.0,67.0,78.0,95.0,12.0,24.0,237.0,62.0,73.0,51.0,64.0,37.0,10.0,2.25,4.76,3.32,4.0,8.0,4.0,125.0,111.0,111.0,46.0,1.0,0.92,0.92,10.41,10.41,10.4,410.76,50.38,35.81,86.71,13.56,250.58,130.95,48.05,50.38,48.05,414.0,154.0,163.0,731.0,57.0,39.0,7.0,83.0,19.0,204.0,166.0,357.0,511.0,17.0,34.0,245.0,40.0,33.0,90.0,401.0,108.0,59.0,10.57,12.71,27.1,5.0,17.0,35.0,731.0,568.0,568.0,2.0,9.31,7.89,7.68,52.01,52.01,50.4
EDM,2022,EDM,EDM,Team Level,5on4,82,0.95,0.91,0.89,23118.0,419.14,72.54,37.68,78.58,13.01,238.82,122.36,64.22,72.54,64.22,425.0,138.0,164.0,727.0,82.0,47.0,13.0,67.0,12.0,223.0,132.0,343.0,481.0,15.0,30.0,250.0,32.0,30.0,70.0,317.0,160.0,86.0,8.35,18.82,45.37,9.0,27.0,46.0,727.0,563.0,563.0,4.0,9.84,14.46,14.46,67.92,67.92,62.26,48.93,3.81,2.09,6.93,1.52,15.67,36.98,3.79,3.81,3.79,55.0,12.0,9.0,76.0,6.0,0.0,0.0,5.0,1.0,12.0,43.0,49.0,61.0,11.0,25.0,194.0,76.0,45.0,46.0,52.0,11.0,4.0,1.43,1.33,1.05,2.0,2.0,2.0,76.0,67.0,67.0,43.0,0.49,0.0,0.0,4.29,4.29,4.26
