Season,Lg,Champion,Runner-Up,Hart,Vezina,Calder,Norris,Conn Smythe
2017-18,NHL,Washington Capitals,Vegas Golden Knights,T. Hall,P. Rinne,M. Barzal,V. Hedman,A. Ovechkin
2016-17,NHL,Pittsburgh Penguins,Nashville Predators,C. McDavid,S. Bobrovsky,A. Matthews,B. Burns,S. Crosby
2015-16,NHL,Pittsburgh Penguins,San Jose Sharks,P. Kane,B. Holtby,A. Panarin,D. Doughty,S. Crosby
2014-15,NHL,Chicago Blackhawks,Tampa Bay Lightning,C. Price,C. Price,A. Ekblad,E. Karlsson,D. Keith
2013-14,NHL,Los Angeles Kings,New York Rangers,S. Crosby,T. Rask,N. MacKinnon,D. Keith,J. Williams
2012-13,NHL,Chicago Blackhawks,Boston Bruins,A. Ovechkin,S. Bobrovsky,J. Huberdeau,P. Subban,P. Kane
2011-12,NHL,Los Angeles Kings,New Jersey Devils,E. Malkin,H. Lundqvist,G. Landeskog,E. Karlsson,J. Quick
2010-11,NHL,Boston Bruins,Vancouver Canucks,C. Perry,T. Thomas,J. Skinner,N. Lidstrom,T. Thomas
2009-10,NHL,Chicago Blackhawks,Philadelphia Flyers,H. Sedin,R. Miller,T. Myers,D. Keith,J. Toews
2008-09,NHL,Pittsburgh Penguins,Detroit Red Wings,A. Ovechkin,T. Thomas,S. Mason,Z. Chara,E. Malkin
2007-08,NHL,Detroit Red Wings,Pittsburgh Penguins,A. Ovechkin,M. Brodeur,P. Kane,N. Lidstrom,H. Zetterberg
2006-07,NHL,Anaheim Ducks,Ottawa Senators,S. Crosby,M. Brodeur,E. Malkin,N. Lidstrom,S. Niedermayer
2005-06,NHL,Carolina Hurricanes,Edmonton Oilers,J. Thornton,M. Kiprusoff,A. Ovechkin,N. Lidstrom,C. Ward
2004-05,NHL,No Season,No Season,No Season,No Season,No Season,No Season,No Season
2003-04,NHL,Tampa Bay Lightning,Calgary Flames,M. St. Louis,M. Brodeur,A. Raycroft,S. Niedermayer,B. Richards
2002-03,NHL,New Jersey Devils,Mighty Ducks of Anaheim,P. Forsberg,M. Brodeur,B. Jackman,N. Lidstrom,J. Giguere
2001-02,NHL,Detroit Red Wings,Carolina Hurricanes,J. Theodore,J. Theodore,D. Heatley,N. Lidstrom,N. Lidstrom
2000-01,NHL,Colorado Avalanche,New Jersey Devils,J. Sakic,D. Hasek,E. Nabokov,N. Lidstrom,P. Roy
1999-00,NHL,New Jersey Devils,Dallas Stars,C. Pronger,O. Kolzig,S. Gomez,C. Pronger,S. Stevens
1998-99,NHL,Dallas Stars,Buffalo Sabres,J. Jagr,D. Hasek,C. Drury,A. MacInnis,J. Nieuwendyk
1997-98,NHL,Detroit Red Wings,Washington Capitals,D. Hasek,D. Hasek,S. Samsonov,R. Blake,S. Yzerman
1996-97,NHL,Detroit Red Wings,Philadelphia Flyers,D. Hasek,D. Hasek,B. Berard,B. Leetch,M. Vernon
1995-96,NHL,Colorado Avalanche,Florida Panthers,M. Lemieux,J. Carey,D. Alfredsson,C. Chelios,J. Sakic
1994-95,NHL,New Jersey Devils,Detroit Red Wings,E. Lindros,D. Hasek,P. Forsberg,P. Coffey,C. Lemieux
1993-94,NHL,New York Rangers,Vancouver Canucks,S. Fedorov,D. Hasek,M. Brodeur,R. Bourque,B. Leetch
1992-93,NHL,Montreal Canadiens,Los Angeles Kings,M. Lemieux,E. Belfour,T. Selanne,C. Chelios,P. Roy
1991-92,NHL,Pittsburgh Penguins,Chicago Blackhawks,M. Messier,P. Roy,P. Bure,B. Leetch,M. Lemieux
1990-91,NHL,Pittsburgh Penguins,Minnesota North Stars,B. Hull,E. Belfour,E. Belfour,R. Bourque,M. Lemieux
1989-90,NHL,Edmonton Oilers,Boston Bruins,M. Messier,P. Roy,S. Makarov,R. Bourque,B. Ranford
1988-89,NHL,Calgary Flames,Montreal Canadiens,W. Gretzky,P. Roy,B. Leetch,C. Chelios,A. MacInnis
1987-88,NHL,Edmonton Oilers,Boston Bruins,M. Lemieux,G. Fuhr,J. Nieuwendyk,R. Bourque,W. Gretzky
1986-87,NHL,Edmonton Oilers,Philadelphia Flyers,W. Gretzky,R. Hextall,L. Robitaille,R. Bourque,R. Hextall
1985-86,NHL,Montreal Canadiens,Calgary Flames,W. Gretzky,J. Vanbiesbrouck,G. Suter,P. Coffey,P. Roy
